guid,text,extra,tags
F%=1XZ8Sft,"In a binary encoding, {{c1::each state is represented as a binary number.}}","Advantage: very compact, reduces amount of Flip-Flops used for state<br>Disadvantage: other logic more complicated",ETH::sem2::DDCA
J1p>lcN.5J,"In an Output encoding, {{c1::outputs are directly accessible in state encoding.}}","Example: 001, 010, 100, 110 for a (green, yellow, red) traffic light<br>Advantage: minimizes output logic",ETH::sem2::DDCA
q$(ZtVs!sX,R-type instructions operate on {{c1::three registers}},"Examples: add, and, slt",ETH::sem2::DDCA
JH$r/N4_i*,I-type instructions operate on {{c1::two registers and a 16-bit immediate.}},"Examples: addi, lw, beq",ETH::sem2::DDCA
LI$<DaWL.L,J-type instructions operate on {{c1::one 26-bit immediate.}},"Examples: j, jal",ETH::sem2::DDCA
dOUJuy3CA[,"In Boolean algebra, \(\bullet\) means {{c1::AND}}.",,ETH::sem2::DDCA
B}Rj(zK0.6,"In Boolean algebra,&nbsp;\(+\) means {{c1::OR}}.",,ETH::sem2::DDCA
m.z>*Vj;0`,"Ein Graph ist \(k\)-zusammenhängend, wenn {{c1::wir mindestens&nbsp;\(k\) Knoten löschen müssen, damit er nicht mehr zusammenhängend ist.}}",,ETH::sem2::AnW
wYNIl$6{KE,"Wenn ein Graph&nbsp;\(k\)-zusammenhängend ist, ist er auch&nbsp;{{c1::\(k-1\)-zusammenhängend.}}",,ETH::sem2::AnW
x$+[>$U=Wl,"Es gibt&nbsp;{{c1::\(n^k\)}} Möglichkeiten,&nbsp;\(k\) Elemente <b>geordnet mit Zurücklegen</b> aus einer Menge mit \(n\) zu ziehen.",,ETH::sem2::AnW
o+>y]EAyv&,"Es gibt&nbsp;{{c1::\(\frac{n!}{(n-k)!}\)}} Möglichkeiten,&nbsp;\(k\) Elemente&nbsp;<b>geordnet ohne Zurücklegen</b>&nbsp;aus einer Menge mit \(n\) Elementen zu ziehen.",,ETH::sem2::AnW
HTQOog++F3,"Es gibt&nbsp;{{c1::\(\binom{n+k-1}{k}\)}} Möglichkeiten,&nbsp;\(k\) Elemente <b>ungeordnet mit Zurücklegen</b>&nbsp;aus einer Menge mit \(n\) Elementen zu ziehen.",,ETH::sem2::AnW
L@~[[nY^&#,"Es gibt&nbsp;{{c1::\(\binom{n}{k}\)}} Möglichkeiten,&nbsp;\(k\) Elemente&nbsp;<b>ungeordnet&nbsp;ohne Zurücklegen</b>&nbsp;aus einer Menge mit \(n\) Elementen zu ziehen.",,ETH::sem2::AnW
NK^)ecusK7,"Ein induzierter Teilgraph entsteht, wenn man aus einem Graph {{c1::nur Knoten &amp; dessen verbundene Kanten entfernt.&nbsp;}} Man darf also nicht {{c1::nur Kanten entfernen}}.",,ETH::sem2::AnW
maqkZ_mRL^,"Eine {{c2::endliche, nichtleere Menge&nbsp;\(\Sigma\)}} heisst {{c1::Alphabet}}.",,ETH::sem3::TI
gXd7.Yb9Uo,Das leere Wort in einem Alphabet&nbsp;\(\Sigma\) wird mit {{c1::\(\lambda\)}} bezeichnet.,,ETH::sem3::TI
j$!`:5QFF1,The order of the differential equation is {{c1::the order of the highest derivative in the equation}}.,,ETH::sem3::Ana2
b4S$^<QF#/,A differential equation is called <i>homogenous</i>&nbsp;if {{c1::its right hand side is 0}}.,,ETH::sem3::Ana2
"O]s3MO,?Y_","Ein deterministischer endlicher Automat (EA) ist ein Tupel&nbsp;\(M = (Q, \Sigma, \delta, q_0, F)\) wobei<br><ul><li>Q {{c1::eine endliche Menge von Zuständen}}</li><li>\(\Sigma\) {{c2::ein Eingabealphabet}}<br></li><li>\(q_0 \in Q\) {{c3::der Anfangszustand}}<br></li><li>\(\delta : Q \times \Sigma \to Q\) {{c4::die Übergangsfunktion}}</li><li>\(F \subseteq Q\) {{c5::die Menge der akzeptierenden Zustände}}</li></ul>ist.",,ETH::sem3::TI
xeSD2qTh6x,"\(\delta(q,a) = p\) bedeutet, {{c1::dass&nbsp;\(M\) in den Zustand&nbsp;\(p\) übergeht, falls&nbsp;\(M\) im Zustand&nbsp;\(q\) das Symbol&nbsp;\(a\) gelesen hat}}",,ETH::sem3::TI
(1/Qvg]Xr,"Die Klasse der <b>regulären</b> Sprachen&nbsp;\(\mathcal{L}_{EA}\) ist die Klasse der Sprachen, {{c1::welche von einem endlichen Automaten akzeptiert werden.}}",Jede Sprache&nbsp;\(L \in \mathcal{L}_{EA}\) wird <b>regulär</b> genannt.,ETH::sem3::TI
FCP0iDPrPM,A useful equation for avoiding cancellation is&nbsp;\(a - b = \)&nbsp;{{c1::\(\frac{a^2 - b^2}{a+b}\)}},,ETH::sem3::NumCS
J|7tI:*3X~,A useful equation for avoiding cancellation is&nbsp;\(\log a - \log b = \)&nbsp;{{c1::\(\log \frac{a}{b}\)}},,ETH::sem3::NumCS
bkd.wM:Z2),A trap is {{c1::an intentional synchronous exception}}.,"Examples: syscalls, special instructions",ETH::sem3::SPCA
bU`YK(6JD3,A fault is an {{c1::unintential but potentially recoverable synchronous}} exception.,"Examples: page faults, floating point exceptions",ETH::sem3::SPCA
EG0;aXhy.p,An abort is an {{c1::unintentional and unrecoverable}} exception.,"Example: division by 0, machine check",ETH::sem3::SPCA
nC7Np_X*?[,An interrupt is an {{c1::asychronous signal from an I/O device}}.,,ETH::sem3::SPCA
Ec9<`O#pu`,A page fault happens when {{c1::a user accesses a location in memory that is not in physical memory}}.,Afterwards: returns to faulting instruction,ETH::sem3::SPCA
",5u*`n3pb","If an interrupt is maskable, we can {{c1::choose to ignore or delay it}}.",,ETH::sem3::SPCA
c*)gXQM;/x,IOMMU stands for {{c1::I/O Memory Management Unit}}.,,ETH::sem3::SPCA
ma``5@}g5!,SAT =&nbsp;{{c1::\(\{\Phi \mid \Phi \) ist eine erfüllbare Formel in KNF\(\}\) }},== Satisfiability,ETH::sem3::TI
N}5$B~v>B`,"CLIQUE =&nbsp;{{c1::\(\{(G,k) \mid G \) ist ein ungerichteter Graph, der eine&nbsp;\(k\)-Clique enthält&nbsp;\(\}\)}}",,ETH::sem3::TI
"hBv?,]U<hO","Eine&nbsp;\(k\)-Clique in einem Graphen ist {{c1::ein Subset an Knoten der Grösse \(k\), welche alle paarweise verbunden sind.}}",,ETH::sem3::TI
HdT~;:=bS>,"VC =&nbsp;{{c1::\(\{(G,k) \mid G\) ist ein Graph mit Knotenüberdeckung der Grösse höchstens&nbsp;\(k \}\)}}",,ETH::sem3::TI
lemIxrNw-J,The TLB ({{c1::Translation Lookaside Buffer}}) is a {{c1::cache for mapping virtual page numbers to physical page numbers.}},,ETH::sem3::SPCA
iu+k%(lt#L,PTE stands for {{c1::Page Table Entry.}},,ETH::sem3::SPCA
C%bj;|h7KI,"\(L_U = \)&nbsp;{{c1::\(\{\text{Kod}(M)\#w \mid w \in \{0,1\}^* \text{ und M akzeptiert } w\}\)}}",,ETH::sem3::TI
E7o[D?o[Rp,"\(L_H = \) {{c1::\(\{\text{Kod}(M)\# x \mid x \in \{0,1\}^*\)&nbsp; und M hält auf \(x\}\)}}",,ETH::sem3::TI
nw`V)k:X;(,\(L_{\text{empty}} =\) {{c1::\(\{\text{Kod}(M) \mid L(M) = \varnothing \}\)}},,ETH::sem3::TI
Gy&l~&[T$h,\(L_{EQ} =\)&nbsp;{{c1::\(\{\text{Kod}(M)\#\text{Kod}(\bar{M}) \mid L(M) = L(\bar{M})\}\)}},,ETH::sem3::TI
x@yx*7fr{},"\(L_{H,\lambda} =\)&nbsp;{{c1::\(\{\text{Kod}(M) \mid M \text{ hält auf } \lambda \}\)}}",,ETH::sem3::TI
rb>u/2<`S],"Der Satz von Cook besagt, dass {{c1::SAT NP-vollständig ist.}}",,
"sY00nMVq,]","Eine Grammatik ist eine Typ-3-Grammatik (<b>regulär</b>), falls {{c1::\(\forall (\alpha,\beta) \in P: \alpha \in \Sigma_N, \beta \in \Sigma_T^* \times \Sigma_N \cup \Sigma_T^*\).}}",d.h. nur ein Nichtterminal und Terminale nur als Prefix,ETH::sem3::TI
t/ki)fCFZ`,"Eine Grammatik ist eine Typ-2-Grammatik (<b>kontextfrei</b>), falls&nbsp;{{c1::\(\forall (\alpha, \beta) \in P: \alpha \in \Sigma_N, \beta \in (\Sigma_N \cup \Sigma_T)^*\).}}",,ETH::sem3::TI
st8gpJ{6.5,"Eine Grammatik ist eine Typ-1-Grammatik (<b>kontextsensitiv</b>), falls&nbsp;{{c1::\(\forall (\alpha, \beta) \in P: |\alpha| \le |\beta|\).}}","d.h. kann nicht ""schrumpfen""",ETH::sem3::TI
F<DaUVTC>X,"Der Satz von Rice besagt, dass {{c1::jedes semantisch nichttriviale Entscheidungsproblem über Turingmaschinen unentscheidbar ist.}}",semantisch: unabhängig von Struktur der TM<br>nichttrivial: mindestens 1 aber nicht alle TM sind in der Sprache,ETH::sem3::TI
dX|8rH#t|C,"Eine Sprache&nbsp;\(L\) ist NP-schwer, wenn {{c1::alle Sprachen in NP in polynomieller Zeit&nbsp;auf&nbsp;\(L\) reduziert werden können.}}",,
AmB39:CR8:,"Eine Sprache&nbsp;\(L\) ist NP-vollständig, falls&nbsp;{{c1::\(L \in\) NP und&nbsp;\(L\) NP-schwer ist.}}",z.B. SAT,
Oot<diX(:.,A compilation unit in C is roughly {{c1::a source file plus all of its includes.}},,ETH::sem3::SPCA
k(/Gu0354D,<i>Referential transparency </i>means that {{c1::an expression always evaluates to the same value in every context}}.,,ETH::sem4::FMFP
C[BU|b<B5v,A Candidate Key is {{c1::the minimal set of fields that identifies each tuple in a relation uniquely.}},,ETH::sem4::DMDB
sXbQ&Fe48.,A Primary Key is {{c1::a chosen candidate key.}}<br>,intutitively: unique identifier for data row,ETH::sem4::DMDB
"oPdA>lNf,k","In Relational Algebra, the&nbsp;\(\sigma\) operator means {{c1::Selection, so basically WHERE.}}",e.g.&nbsp;\(\sigma_{price&gt;100}\),ETH::sem4::DMDB
JRBc]Z)OTu,"In Relational Algebra, the&nbsp;\(\prod\) operator means {{c1::Projection, so we select a subset of columns.}}","e.g.&nbsp;\(\prod_{name,price}\langle table \rangle\)",ETH::sem4::DMDB
Hm!T4~r(8#,"In Relational Algebra, the&nbsp;\(\rho\) operator means {{c1::Renaming, so we change the name of the attributes.}}",,ETH::sem4::DMDB
K?9tQE7Tz8,"In Relational Algebra, the&nbsp;\(\bowtie\) operator means {{c1::Natural Join, so join on all common attributes.}}",e.g. Customer&nbsp;\(\bowtie\) Purchase,ETH::sem4::DMDB
"kH>F},njo;","In TCP congestion control, <i>slow start</i> is {{c1::a phase in which we enlarge the CWND by 1 per received ACK.}}","If all packets make it, this leads to a doubling of the CWND per RTT!",ETH::sem4::CN
i|#OK[j/MH,"In TCP congestion control, a <i>timeout</i> causes the CWND to {{c1::be reset to 1.}}",,ETH::sem4::CN
pZf]x$+2:S,"In TCP congestion control, fast recovery causes CWND {{c1::to be halved.}}",,ETH::sem4::CN
Jy(nh2@i+B,The Karn/Partridge-Algorithm estimates {{c1::Round Trip Times for setting good timeouts}}.,,ETH::sem4::CN
"s4OE}22i?,",The Jacobson/Karels algorithm is an improvement over the {{c1::Karn/Partridge}} algorithm.,,ETH::sem4::CN
L3C~r!;%H#,The loopback address in IPv6 is {{c1::⠶1/128.}},,ETH::sem4::CN
FC?_@*D~T3,"""Happy Eyeballs"" is a networking algorithm that says that {{c1::clients should try both IPv4 and IPv6, but prefer an IPv6 connection to a server if available.}}",,ETH::sem4::CN
n&?@7Mh9T>,The 4 goals of reliable transfer are:<br><ul><li>{{c1::Correctness}}</li><li>{{c2::Timeliness}}</li><li>{{c3::Efficiency}}</li><li>{{c4::Fairness}}</li></ul>,,ETH::sem4::CN
de5mYAM@HC,A reliable transport design is correct if&nbsp;{{c1::a packet is always resent if the previous packet was lost/corrupted.}},,ETH::sem4::CN
u^R$XY$~W?,"To download a file with curl, use {{c1::<pre>curl -O</pre>}}",,
F2[du1bMu;,"In an OS, a trampoline is a {{c1::part of the memory that is at the same address in both the user and kernel page tables.}}",,
AReK9,The Operating System is defined as the body of software that<br><ul><li>{{c1::Multiplexes hardware resources}}</li><li>{{c2::Abstracts the hardware away}}</li><li>{{c3::Protects programs from each other}}</li></ul>,,ETH::sem5::CompSys
EsKaK,The three roles of an OS are to be {{c1::<ul><li>Referee</li><li>Illusionist</li><li>Glue</li>}}<br></ul>,,ETH::sem5::CompSys
l6y93,A<b> name&nbsp;</b>is an {{c1::identifier for an object in a system}}.,,ETH::sem5::CompSys
_3dwF,A&nbsp;<b>binding</b>&nbsp;is an {{c1::association of a name to an object}}.,,ETH::sem5::CompSys
Gj]cE,A&nbsp;<b>context</b>&nbsp;is a {{c1::set of bindings}}. Also known as {{c1::<b>namespace</b> or <b>name scope</b>}}.,,ETH::sem5::CompSys
{IP/B,<b>Resolution </b>is {{c1::the process of taking a name + context and finding the object bound to the name in that context}}.,The bound object could also be a new context.,ETH::sem5::CompSys
gMD>H,"A <b>naming network&nbsp;</b>is a {{c1::directed graph where nodes are either contexts or objects, and the edges are bindings}}.",,ETH::sem5::CompSys
9CO?E,A <b>pathname&nbsp;</b>is a {{c1::ordered list of names (called&nbsp;<i>path components</i>)&nbsp;that specify a path in a naming network}}.,A UNIX filename is&nbsp;a pathname.,ETH::sem5::CompSys
rR1E|Rtd{i,The central nervous system (CNS) is made up of {{c1::the brain and the spinal cord.}},,ETH::electives::NeuroInf
5lzrcfSCS,The cerebral cortex is the {{c1::superficial gray matter of the brain hemispheres.}},,ETH::electives::NeuroInf
P?oxC{*aqn,The <i>corpus callosum&nbsp;</i>is {{c1::the large midline fiber bundle connecting the two brain hemispheres.}},In German sometimes: <i>Balken</i>,ETH::electives::NeuroInf
he%>mSIN1U,"<i>Gray matter</i>&nbsp;is a term describing {{c1::regions of the CNS with many neuronal cell bodies, dendrites and synapses.}}","It's gray because there isn't much myelin in the gray matter, and the myelin is white.",ETH::electives::NeuroInf
j67EjJ[Ps6,The&nbsp;<i>gyrus</i>&nbsp;are {{c1::the ridges of the infolded cerebral cortex.}},,ETH::electives::NeuroInf
ET#5&q4pOP,The <i>limbic system&nbsp;</i>is {{c1::the part of the brain concerned with emotions.}},e.g. hippocampus and amygdala,ETH::electives::NeuroInf
IvNXmK(`|=,The&nbsp;<i>neocortex</i>&nbsp;is the {{c1::six-layered cortex that makes up about 90% of the&nbsp;<i>cerebral cortex</i>.}},The other 10% is&nbsp;<i>allocortex</i>.,ETH::electives::NeuroInf
H`/#Ge6^rC,The&nbsp;<i>peripheral nervous system (PNS)</i>&nbsp;includes {{c1::all nerves and neurons outside the brain &amp; spinal cord.}},,ETH::electives::NeuroInf
AM8Z[6%a%S,The&nbsp;<i>soma</i>&nbsp;is {{c1::the cell body of a neuron.}},,ETH::electives::NeuroInf
K|11=(4kV3,"In scheduling, <i>priority inversion</i>&nbsp;is {{c1::a problem where a low-priority task holds a lock that a high-priority task needs. Then a middle-priority task gets scheduled instead, and the high-priority task is unable to run.}}",This happened on the Mars Pathfinder rover.,ETH::sem5::CompSys
er_[@a/x|/,A <i>preemptive</i>&nbsp;scheduler may {{c1::interrupt and suspend a task before it is completed.}},,ETH::sem5::CompSys
"Hy)8GV2.,x","In scheduling,&nbsp;<i>priority inheritance</i>&nbsp;is {{c1::a solution to the priority inversion problem. If a task holds a lock, it temporarily has the priority of the highest process waiting for the lock.}}",This requires the scheduler to be involved in lock operations.,ETH::sem5::CompSys
qNO2x;^G`%,"In scheduling,&nbsp;<i>priority ceiling</i>&nbsp;is {{c1::a solution to the priority inversion problem. If a task holds a lock, it temporarily has the priority of the highest process which can ever hold the lock.}}",This can require static analysis of the entire system.,ETH::sem5::CompSys
Jt}2U{<M18,The <i>Goldman-Hodgkin-Katz equation</i> is used to determine the&nbsp;{{c1::reversal potential across a membrane including all permeable ions.}},,ETH::electives::NeuroInf
Kg1]+B+yKs,An&nbsp;<i>afferent</i>&nbsp;neuron/axon conducts action potentials&nbsp;{{c1::from the periphery&nbsp;<b>towards</b>&nbsp;the CNS}}.,,ETH::electives::NeuroInf
H:fht}fv0p,An&nbsp;<i>efferent</i>&nbsp;neuron/axon conducts action potentials {{c1::<b>away</b>&nbsp;from the CNS to the periphery.}},,ETH::electives::NeuroInf
fsw>C@#+MB,The presynaptic terminal is also called&nbsp;{{c1::axon terminal or bouton}}.,,ETH::electives::NeuroInf
tVYOj@8P3{,The <i>Nodes of Ranvier </i>are<i>&nbsp;</i>{{c1::myelin-sheath gaps along the axon where the action potential is regenerated}}.,,ETH::electives::NeuroInf
HXUCFYhchr,The <i>meninges</i>&nbsp;are {{c1::the three membranes that surround and protect the brain / spinal cord}}.,"(mammals have three, others not)",ETH::electives::NeuroInf
Ln!A!2^MYs,The&nbsp;<i>dura mater&nbsp;</i>is {{c1::the thick inelastic outermost layer of the&nbsp;<i>meninges</i>}}.,,ETH::electives::NeuroInf
Kfxefl7akn,The&nbsp;<i>arachnoid mater</i>&nbsp;is {{c1::the thin middle layer of the <i>meninges</i>}}.,"Among other things, it keeps blood from getting into the cerebrospinal fluid.",ETH::electives::NeuroInf
b?Q>c_!^r`,The&nbsp;<i>pia mater</i>&nbsp;is {{c1::the thin innermost layer of the&nbsp;<i>meninges</i>}}.,"Among other things, it prevents cerebrospinal fluid from reaching the brain.",ETH::electives::NeuroInf
A}wlY_JWE`,The CAP theorem says that any distributed system {{c1::can only have two of the three properties:<br><ul><li>Consistency</li><li>Availability</li><li>Partition tolerance}}</li></ul>,,ETH::sem5::CompSys
KeXb5qzp`K,The shared state in Bitcoin is&nbsp;{{c1::the set of <i>unspent transaction outputs (UTXOs)&nbsp;</i>and some additional global parameters.}},,ETH::sem5::CompSys
unMRZ`+L=q,"The Bitcoin PoW function is given by {{c1::\[\mathcal{F}_d(c,x) \to \text{SHA256}(\text{SHA256}(c|x)) &lt; \frac{2^{224} }{d}\]}}",,ETH::sem5::CompSys
NKH]x`l+`D,"On success, <tt>fork()</tt> returns&nbsp;{{c1::the child PID}} to the parent and&nbsp;{{c1::0}} to the child.",,ETH::sem5::CompSys
Kvf>{OSF=r,"On failure, <tt>fork()</tt> returns&nbsp;{{c1::-1}} to the parent and the child {{c1::is not created}}.",,ETH::sem5::CompSys
Hje6w~wY=U,The drift&nbsp;\(\delta\)&nbsp;is {{c1::the predictable clock error}}.,,ETH::sem5::CompSys
h2#T5DY.KD,TAI is a {{c1::time standard without leap seconds}}.,,ETH::sem5::CompSys
nEd$&|E5Cc,"Caller-save registers are {{c1::""volatile"" across a call - the caller must save them}}. In constrast, callee-save registers are {{c1::""non-volatile"" across a call - the called function must restore them}}.",,
HO>.af]C*u,A <b>naming hierarchy</b>&nbsp;is a {{c1::naming network that is a tree}}.,,ETH::sem5::CompSys
sfQf2o.KJK,An&nbsp;<b>indirect entry</b>&nbsp;is a {{c1::name bound to another path name}}.,The other path name is resolved in the same context as the indirect entry.,ETH::sem5::CompSys
N#Em7vCe!k,A&nbsp;<b>pure name</b>&nbsp;tells us {{c1::nothing useful about the object it refers to}}.,,ETH::sem5::CompSys
dhRXG*2Ox0,An&nbsp;<b>address</b>&nbsp;is a name that {{c1::also encodes information about the object it refers to}}.,Example: IPv4 address,ETH::sem5::CompSys
gy)-6Sy4zf,A&nbsp;<b>search path&nbsp;</b>is an {{c1::ordered list of contexts that are treated like a single context}}.,e.g. the $PATH variable on Linux. We go through all the contexts until we find a binding for the given name.,ETH::sem5::CompSys
gtAy<SsMZJ,<b>Synonyms&nbsp;</b>are {{c1::different names bound to the same object}}.<b>&nbsp;</b>,,ETH::sem5::CompSys
r2X~V-BV.K,<b>Bootstrapping</b> (also called <b>booting</b>) is the process {{c1::of starting the operating system when the machine is powered on / reset}}. It ends when {{c1::the operating system is running regular processes}}.,,ETH::sem5::CompSys
sKrZ!q+:vZ,"A computer boots by doing four steps:<br><ol><li>{{c1::CPU starts executing code at a fixed address, where the <i>Boot ROM</i> is.}}</li><li>{{c2::The Boot ROM code loads the second stage boot loader into RAM.}}</li><li>{{c3::The second stage boot loader loads the kernel and (sometimes) an initial file system into RAM.}}</li><li>{{c4::Jump to the kernel entry point.}}</li></ol>",,ETH::sem5::CompSys
h|Cu&fMJ5M,"In user mode, we have&nbsp;{{c1::limited}} privileges.",e.g. we cannot write to any memory,ETH::sem5::CompSys
kvhm6kMx2(,We switch from user mode to kernel mode when {{c1::a processor exception happens (e.g. a syscall trap or a page fault)}}.,,ETH::sem5::CompSys
ESJF/V;MUl,"When an exception occurs, we<br><ol><li>{{c1::Finish executing the current instruction}}.</li><li>{{c2::Switch to kernel mode}}</li><li>{{c3::Look up exception cause in the exception vector table}}</li><li>{{c4::Jump to the address from the table}}</li></ol>",,ETH::sem5::CompSys
x:F^pDT698,A <b>synchronous </b>exception happens because {{c1::we execute an instruction}}.,,ETH::sem5::CompSys
Hj-pfrl1qp,The <b>kernel</b>&nbsp;is {{c1::the code that runs in kernel mode}}.,,ETH::sem5::CompSys
i){xWs32PO,A&nbsp;<b>system library</b>&nbsp;is {{c1::a convenient interface to the kernel}}.,,ETH::sem5::CompSys
"q]>i*4P],A",A&nbsp;<b>daemon</b>&nbsp;is {{c1::a user-space process which provides OS services}}.,Example: crond for repeating tasks,ETH::sem5::CompSys
"P,:Q<gG]rt",IPC stands for {{c1::Inter-Process Communication}}.,,ETH::sem5::CompSys
"Lbp)Eg,*A2",A <b>hardware timer&nbsp;</b>regularly {{c1::causes an interrupt that returns control to the kernel handler}}.,,ETH::sem5::CompSys
Qqh<YKX71n,<b>Homonyms</b>&nbsp;are {{c1::the same name being bound to different objects}}.&nbsp;,,ETH::sem5::CompSys
l3u2Q*]s1Y,"While the interrupt handler runs, interrupts {{c1::are turned off}}.",Useful for implementing atomic operations,ETH::sem5::CompSys
M?Z7<gsL1f,A&nbsp;<b>process</b>&nbsp;is {{c1::the execution of a program with restricted rights}}.,,ETH::sem5::CompSys
"l,T%K.3/Vx",A&nbsp;<b>thread</b>&nbsp;is {{c1::a sequence of instructions within a process}}.,,ETH::sem5::CompSys
"F:-OGW,!D{",The name of a process is {{c1::its PID}}.,,ETH::sem5::CompSys
L^/Vqd~l3P,The Process Control Block (PCB) is a {{c1::data structure holding information about a process}}.,,ETH::sem5::CompSys
JC@Kw3[u0$,There are two main approaches for creating a process:&nbsp;{{c1::spawn}} and&nbsp;{{c2::fork/exec}}.,,ETH::sem5::CompSys
n5fV]Uya3&,The <b>trap frame</b> contains {{c1::values of certain registers saved there before a syscall is handled}}.,,ETH::sem5::CompSys
e;}MfYGPp},The kernel switches processes when either {{c1::a timer interrupts it}} or when {{c1::a process blocks}}.,,ETH::sem5::CompSys
N~>1j^pxGg,One of the main purposes of the <code>init</code> process is to {{c1::wait for any child to <code>exit()</code> so that there are no orphans}}.,,ETH::sem5::CompSys
~5$:%)t|),The two ways for processes to communicate are through {{c1::message passing}} or through {{c2::shared memory}}.,,ETH::sem5::CompSys
"c5zl!6P.,2",<b>Marshalling</b> is {{c1::the process of converting data into a format suitable for transmission}}.,e.g. arguments in a RPC are marshalled.,ETH::sem5::CompSys
wscm2:ZzpT,"A <b>zombie&nbsp;</b>is a {{c1::process that has died, but is still around because its parent hasn't called <code>wait()</code>.}}",,ETH::sem5::CompSys
b>!vbB%tin,A zombie process has to continue to exist because {{c1::the exit status must be preserved}}.,,ETH::sem5::CompSys
LaMG.yz?Ow,We need only three concepts to build all OS structures:<br><ul><li>{{c1::Mode switch}}<br></li><li>{{c2::Page tables}}<br></li><li>{{c3::Timer interrupts}}<br></li></ul>,,ETH::sem5::CompSys
v>sN<J--du,<b>Uniprocessor scheduling</b>&nbsp;is {{c1::the problem of scheduling tasks on a single processor core}}.,,ETH::sem5::CompSys
wB1/]TBw+a,<b>Batch scheduling</b>&nbsp;is {{c1::the problem of scheduling a (potentially unbounded) set of finite tasks}}.,,ETH::sem5::CompSys
P)MPQj)WGN,The&nbsp;<b>execution time&nbsp;</b>(or&nbsp;<b>run time</b>) of a job is {{c1::the time it takes for the job to execute once started}}.,,ETH::sem5::CompSys
L];d#pl8K],The&nbsp;<b>hold time</b>&nbsp;of a job is {{c1::the time it takes for the job from arriving at the scheduler to start executing}}.,,ETH::sem5::CompSys
